Type,Price,Bedrooms,Bathrooms,Area,Furnished,Level,Compound,Payment_Option,Delivery_Date,Delivery_Term,City,Price_Category,Area_Category,Price_per_sqm,in_Compound,Immediate_Move
Apartment,1681202.0,2.0,2.0,130.0,No,1.0,Unknown,Cash or Installment,36.0,Not Finished,New Capital City,Premium,Medium,12932.323076923078,0,0
Apartment,1681202.0,2.0,2.0,130.0,No,7.0,Unknown,Cash or Installment,36.0,Not Finished,New Capital City,Premium,Medium,12932.323076923078,0,0
Apartment,5030000.0,3.0,3.0,250.0,No,3.0,Palm Hills New Cairo,Installment,0.0,Unknown ,New Cairo - El Tagamoa,Luxury,Large,20120.0,1,1
Apartment,4250000.0,2.0,2.0,139.0,No,3.0,Cairo Festival City,Cash,0.0,Semi Finished,New Cairo - El Tagamoa,Premium,Medium,30575.539568345324,1,1
Apartment,1750000.0,2.0,2.0,96.0,No,5.0,Unknown,Cash,0.0,Finished,Madinaty,Premium,Small,18229.166666666668,0,1
Apartment,1400000.0,3.0,2.0,168.0,No,7.0,Unknown,Cash,0.0,Finished,Bolkly,Standard,Large,8333.333333333334,0,1
Apartment,2402000.0,3.0,3.0,164.0,No,3.0,Sarai,Installment,0.0,Core & Shell,New Cairo - El Tagamoa,Premium,Large,14646.341463414634,1,1
Apartment,5340000.0,4.0,3.0,425.0,No,2.0,Unknown,Cash,0.0,Finished,New Cairo - El Tagamoa,Luxury,Very Large,12564.70588235294,0,1
Apartment,5000000.0,3.0,3.0,224.0,Unknown,5.0,Rehab City,Cash,3.0,Finished,Rehab City,Premium,Large,22321.428571428572,1,0
Apartment,400000.0,3.0,2.0,161.0,No,3.0,Unknown,Cash or Installment,0.0,Finished,New Cairo - El Tagamoa,Budget,Medium,2484.472049689441,0,1
Apartment,1200000.0,3.0,3.0,180.0,Unknown,2.0,Unknown,Cash or Installment,0.0,Unknown ,New Cairo - El Tagamoa,Standard,Large,6666.666666666667,0,1
Apartment,400000.0,3.0,3.0,185.0,No,2.0,Al Burouj,Unknown Payment,1.5,Finished,Madinaty,Budget,Large,2162.162162162162,1,0
Apartment,550000.0,3.0,2.0,151.0,No,2.0,Swan Lake,Cash or Installment,3.0,Finished,New Cairo - El Tagamoa,Standard,Medium,3642.384105960265,1,0
