Type,Price,Bedrooms,Bathrooms,Area,Furnished,Level,Compound,Payment_Option,Delivery_Date,Delivery_Term,City,Price_Category,Area_Category,Price_per_sqm,in_Compound,Immediate_Move
Apartment,1650000.0,3.0,2.0,155.0,Unknown,4.0,Unknown,Unknown Payment,0.0,Finished,Sheikh Zayed,Premium,Medium,10645.161290322581,0,1
Apartment,1350000.0,3.0,3.0,211.0,No,2.0,Unknown,Cash,0.0,Finished,Hadayek 6th of October,Standard,Large,6398.104265402843,0,1
Apartment,1350000.0,2.0,2.0,140.0,No,1.0,Stone Residence,Cash,0.0,Semi Finished,New Cairo - El Tagamoa,Standard,Medium,9642.857142857143,1,1
Apartment,4011888.0,1.0,1.0,85.0,No,2.0,Cairo Gate,Installment,3.0,Finished,Sheikh Zayed,Premium,Small,47198.68235294118,1,0
Apartment,1680000.0,2.0,3.0,165.0,Unknown,2.0,Capital Gardens,Unknown Payment,0.0,Core & Shell,New Cairo - El Tagamoa,Premium,Large,10181.818181818182,1,1
Apartment,1950000.0,2.0,2.0,133.0,Unknown,2.0,Galleria Moon Valley,Unknown Payment,0.0,Unknown ,New Cairo - El Tagamoa,Premium,Medium,14661.654135338345,1,1
Apartment,3800000.0,3.0,3.0,172.0,Unknown,2.0,Hyde Park New Cairo,Unknown Payment,0.0,Semi Finished,New Cairo - El Tagamoa,Premium,Large,22093.023255813954,1,1
Apartment,1992000.0,2.0,2.0,107.0,No,3.0,Al Maqsad,Installment,0.0,Finished,New Capital City,Premium,Small,18616.82242990654,1,1
Apartment,3000000.0,2.0,3.0,145.0,Unknown,0.0,Hyde Park New Cairo,Cash or Installment,0.0,Unknown ,New Cairo - El Tagamoa,Premium,Medium,20689.655172413793,1,1
Apartment,2950000.0,3.0,2.0,210.0,No,6.0,Unknown,Installment,0.0,Finished,Smoha,Premium,Large,14047.619047619048,0,1
Apartment,4025000.0,3.0,2.0,143.0,Unknown,2.0,Fifth Square,Unknown Payment,0.0,Finished,New Cairo - El Tagamoa,Premium,Medium,28146.853146853147,1,1
Apartment,4650000.0,3.0,2.0,167.0,Yes,2.0,Mountain View Hyde Park,Cash,0.0,Finished,New Cairo - El Tagamoa,Premium,Large,27844.311377245507,1,1
Duplex,5750000.0,3.0,3.0,278.0,No,0.0,Mountain View Hyde Park,Cash,0.0,Finished,New Cairo - El Tagamoa,Luxury,Very Large,20683.45323741007,1,1
Apartment,1550000.0,3.0,2.0,164.0,No,6.0,Unknown,Cash,0.0,Unknown ,Nasr City,Premium,Large,9451.219512195123,0,1
Apartment,460000.0,2.0,1.0,120.0,No,7.0,Unknown,Cash,0.0,Finished,Shubra al-Khaimah,Budget,Small,3833.3333333333335,0,1
Apartment,5500000.0,3.0,3.0,220.0,No,5.0,Unknown,Cash or Installment,0.0,Finished,Laurent,Luxury,Large,25000.0,0,1
Apartment,410000.0,4.0,3.0,190.0,Yes,3.0,Hyde Park New Cairo,Cash or Installment,0.0,Finished,New Cairo - El Tagamoa,Budget,Large,2157.8947368421054,1,1
Apartment,244000.0,3.0,3.0,187.0,No,2.0,Rhodes,Cash or Installment,0.0,Semi Finished,New Capital City,Budget,Large,1304.8128342245989,1,1
Apartment,1342500.0,3.0,3.0,179.0,No,2.0,Beit Al Watan,Cash or Installment,36.0,Semi Finished,New Cairo - El Tagamoa,Standard,Large,7500.0,1,0
Apartment,350000.0,2.0,1.0,128.0,Unknown,2.0,Unknown,Cash or Installment,0.0,Unknown ,Madinaty,Budget,Medium,2734.375,0,1
Apartment,3010000.0,2.0,1.0,128.0,Unknown,4.0,Taj City,Cash or Installment,0.0,Unknown ,New Cairo - El Tagamoa,Premium,Medium,23515.625,1,1
Apartment,460000.0,3.0,3.0,155.0,Unknown,1.0,Unknown,Unknown Payment,0.0,Unknown ,New Cairo - El Tagamoa,Budget,Medium,2967.7419354838707,0,1
Apartment,274000.0,2.0,2.0,139.0,No,2.0,Unknown,Cash or Installment,0.0,Not Finished,New Cairo - El Tagamoa,Budget,Medium,1971.2230215827337,0,1
Apartment,260000.0,3.0,2.0,150.0,No,2.0,Unknown,Cash or Installment,0.0,Semi Finished,New Cairo - El Tagamoa,Budget,Medium,1733.3333333333333,0,1
Duplex,2800000.0,4.0,5.0,280.0,No,7.0,Unknown,Cash or Installment,60.0,Semi Finished,New Capital City,Premium,Very Large,10000.0,0,0
Apartment,1150000.0,3.0,2.0,112.0,No,5.0,Ashgar City,Unknown Payment,0.0,Finished,6th of October,Standard,Small,10267.857142857143,1,1
Apartment,1890000.0,1.0,2.0,72.0,Unknown,2.0,Unknown,Cash or Installment,24.0,Finished,Manakh District,Premium,Small,26250.0,0,0
Apartment,1600000.0,3.0,1.0,135.0,No,10.0,Unknown,Cash,0.0,Finished,Al Ibrahimiyyah,Premium,Medium,11851.851851851852,0,1
Apartment,1650000.0,3.0,2.0,135.0,No,9.0,Unknown,Cash,0.0,Finished,Sidi Beshr,Premium,Medium,12222.222222222223,0,1
Apartment,1650000.0,3.0,2.0,155.0,No,10.0,Unknown,Cash,0.0,Unknown ,Cleopatra,Premium,Medium,10645.161290322581,0,1
Duplex,450000.0,3.0,3.0,220.0,Unknown,0.0,Al Burouj,Cash or Installment,0.0,Finished,Madinaty,Budget,Large,2045.4545454545455,1,1
Apartment,500000.0,3.0,3.0,180.0,No,2.0,Unknown,Cash or Installment,0.0,Unknown ,New Cairo - El Tagamoa,Budget,Large,2777.777777777778,0,1
Apartment,1000000.0,3.0,3.0,160.0,No,2.0,Unknown,Cash or Installment,0.0,Finished,New Cairo - El Tagamoa,Standard,Medium,6250.0,0,1
Apartment,1525797.0,2.0,2.0,120.0,No,1.0,Unknown,Unknown Payment,36.0,Not Finished,New Capital City,Premium,Small,12714.975,0,0
Duplex,4100000.0,4.0,3.0,220.0,No,3.0,Unknown,Cash or Installment,0.0,Semi Finished,Shorouk City,Premium,Large,18636.363636363636,0,1
Apartment,2450000.0,3.0,3.0,160.0,No,2.0,Unknown,Installment,0.0,Finished,New Cairo - El Tagamoa,Premium,Medium,15312.5,0,1
Apartment,1422840.0,3.0,2.0,144.0,No,0.0,Not in Compound,Cash or Installment,0.0,Semi Finished,New Cairo - El Tagamoa,Standard,Medium,9880.833333333334,1,1
Apartment,1000000.0,3.0,3.0,170.0,No,3.0,Unknown,Cash or Installment,0.0,Unknown ,New Cairo - El Tagamoa,Standard,Large,5882.35294117647,0,1
Apartment,600000.0,3.0,3.0,180.0,No,2.0,Unknown,Cash or Installment,0.0,Unknown ,New Cairo - El Tagamoa,Standard,Large,3333.3333333333335,0,1
Apartment,330000.0,3.0,2.0,164.0,No,2.0,Sarai,Cash or Installment,0.0,Not Finished,New Cairo - El Tagamoa,Budget,Large,2012.1951219512196,1,1
Apartment,3800000.0,2.0,3.0,159.0,No,1.0,Unknown,Cash,0.0,Finished,Sheikh Zayed,Premium,Medium,23899.37106918239,0,1
Apartment,2700000.0,3.0,3.0,175.0,Unknown,3.0,Mountain View iCity,Unknown Payment,0.0,Unknown ,New Cairo - El Tagamoa,Premium,Large,15428.57142857143,1,1
Apartment,176175.0,2.0,2.0,135.0,No,2.0,Rhodes,Cash or Installment,0.0,Semi Finished,New Capital City,Budget,Medium,1305.0,1,1
Apartment,1725000.0,3.0,3.0,190.0,Unknown,3.0,Unknown,Installment,0.0,Semi Finished,New Cairo - El Tagamoa,Premium,Large,9078.947368421053,0,1
Apartment,2600000.0,2.0,2.0,130.0,No,2.0,Galleria,Cash or Installment,0.0,Core & Shell,New Cairo - El Tagamoa,Premium,Medium,20000.0,1,1
Apartment,2450000.0,3.0,3.0,170.0,No,2.0,Mountain View iCity,Cash,0.0,Not Finished,New Cairo - El Tagamoa,Premium,Large,14411.764705882353,1,1
Apartment,1525979.0,2.0,2.0,120.0,No,7.0,Unknown,Cash or Installment,36.0,Unknown ,New Capital City,Premium,Small,12716.491666666667,0,0
Duplex,2100000.0,5.0,3.0,560.0,Unknown,0.0,Unknown,Installment,0.0,Semi Finished,New Cairo - El Tagamoa,Premium,Very Large,3750.0,0,1
Apartment,2000000.0,2.0,1.0,89.0,No,0.0,Madinaty,Cash,0.0,Finished,Madinaty,Premium,Small,22471.91011235955,1,1
Apartment,3000000.0,3.0,3.0,194.0,No,4.0,Palm Hills New Cairo,Installment,0.0,Core & Shell,Rehab City,Premium,Large,15463.917525773197,1,1
Apartment,1146000.0,1.0,2.0,69.0,Unknown,3.0,Unknown,Cash or Installment,48.0,Finished,Mostakbal City,Standard,Small,16608.695652173912,0,0
Penthouse,3450000.0,3.0,2.0,167.0,No,3.0,Fifth Square,Installment,0.0,Finished,New Cairo - El Tagamoa,Premium,Large,20658.68263473054,1,1
Apartment,495000.0,2.0,1.0,70.0,No,4.0,Unknown,Cash,0.0,Finished,New Cairo - El Tagamoa,Budget,Small,7071.428571428572,0,1
Duplex,6765000.0,3.0,3.0,235.0,No,0.0,Mountain View iCity,Installment,36.0,Unknown ,New Cairo - El Tagamoa,Luxury,Large,28787.23404255319,1,0
Apartment,3250000.0,3.0,3.0,191.0,Yes,1.0,Unknown,Cash or Installment,0.0,Finished,New Cairo - El Tagamoa,Premium,Large,17015.706806282724,0,1
Penthouse,3500000.0,3.0,3.0,187.0,No,3.0,Fifth Square,Installment,0.0,Finished,New Cairo - El Tagamoa,Premium,Large,18716.57754010695,1,1
Apartment,3620000.0,3.0,3.0,166.0,No,3.0,Galleria Moon Valley,Installment,0.0,Semi Finished,New Cairo - El Tagamoa,Premium,Large,21807.22891566265,1,1
Apartment,1551879.0,2.0,2.0,120.0,No,2.0,Unknown,Cash or Installment,36.0,Not Finished,New Capital City,Premium,Small,12932.325,0,0
Apartment,3500000.0,3.0,3.0,200.0,Unknown,3.0,Unknown,Installment,0.0,Finished,New Cairo - El Tagamoa,Premium,Large,17500.0,0,1
Apartment,1750000.0,2.0,1.0,100.0,Unknown,2.0,Unknown,Cash,0.0,Finished,Sheikh Zayed,Premium,Small,17500.0,0,1
Apartment,2250000.0,3.0,3.0,160.0,No,2.0,Mountain View iCity,Cash,0.0,Not Finished,New Cairo - El Tagamoa,Premium,Medium,14062.5,1,1
Apartment,4450000.0,4.0,3.0,205.0,No,3.0,Fifth Square,Installment,0.0,Semi Finished,New Cairo - El Tagamoa,Premium,Large,21707.317073170732,1,1
Apartment,1525797.0,2.0,2.0,120.0,No,7.0,Unknown,Cash or Installment,36.0,Unknown ,New Capital City,Premium,Small,12714.975,0,0
Penthouse,3850000.0,4.0,3.0,207.0,No,3.0,Fifth Square,Installment,0.0,Finished,New Cairo - El Tagamoa,Premium,Large,18599.033816425122,1,1
Apartment,1000000.0,3.0,3.0,163.0,Unknown,3.0,Mountain View iCity,Unknown Payment,0.0,Unknown ,New Cairo - El Tagamoa,Standard,Large,6134.9693251533745,1,1
Apartment,400000.0,2.0,2.0,100.0,Unknown,2.0,Unknown,Unknown Payment,0.0,Finished,North Coast,Budget,Small,4000.0,0,1
Apartment,650000.0,2.0,1.0,85.0,No,7.0,Unknown,Cash,0.0,Finished,Sharq District,Standard,Small,7647.058823529412,0,1
Apartment,450000.0,3.0,1.0,100.0,No,3.0,Unknown,Cash,0.0,Finished,Talkha,Budget,Small,4500.0,0,1
Apartment,268000.0,3.0,1.0,150.0,No,2.0,Mountain View - October Park,Cash or Installment,0.0,Semi Finished,6th of October,Budget,Medium,1786.6666666666667,1,1
Apartment,300000.0,3.0,1.0,200.0,No,3.0,Unknown,Cash or Installment,0.0,Semi Finished,6th of October,Budget,Large,1500.0,0,1
Apartment,2000000.0,3.0,2.0,122.0,No,1.0,Unknown,Cash,0.0,Finished,Sheikh Zayed,Premium,Medium,16393.44262295082,0,1
Apartment,1900000.0,3.0,3.0,212.0,No,3.0,Not in Compound,Cash or Installment,0.0,Semi Finished,New Cairo - El Tagamoa,Premium,Large,8962.264150943396,1,1
Duplex,1745000.0,2.0,2.0,149.0,Unknown,2.0,Unknown,Cash or Installment,42.0,Finished,Mostakbal City,Premium,Medium,11711.409395973154,0,0
Apartment,3500000.0,3.0,2.0,133.0,No,2.0,Mountain View Hyde Park,Cash,0.0,Finished,New Cairo - El Tagamoa,Premium,Medium,26315.78947368421,1,1
Apartment,1100000.0,3.0,3.0,132.0,No,5.0,Ashgar City,Cash,0.0,Semi Finished,6th of October,Standard,Medium,8333.333333333334,1,1
Apartment,493000.0,3.0,1.0,180.0,No,2.0,Unknown,Cash or Installment,6.0,Finished,Alamein,Budget,Large,2738.8888888888887,0,0
Penthouse,2650000.0,4.0,3.0,193.0,No,3.0,Fifth Square,Installment,0.0,Finished,New Cairo - El Tagamoa,Premium,Large,13730.569948186529,1,1
Apartment,290000.0,2.0,1.0,128.0,No,1.0,Unknown,Cash or Installment,0.0,Unknown ,New Cairo - El Tagamoa,Budget,Medium,2265.625,0,1
Apartment,1900000.0,3.0,3.0,163.0,Unknown,3.0,Sun Capital,Cash or Installment,0.0,Semi Finished,6th of October,Premium,Large,11656.441717791411,1,1
Apartment,1500000.0,3.0,1.0,150.0,No,3.0,Unknown,Cash,0.0,Finished,Abasiya,Standard,Medium,10000.0,0,1
Apartment,224000.0,3.0,1.0,150.0,No,2.0,Mountain View iCity,Cash or Installment,24.0,Semi Finished,6th of October,Budget,Medium,1493.3333333333333,1,0
Apartment,1739000.0,3.0,2.0,185.0,No,2.0,Unknown,Cash or Installment,12.0,Semi Finished,Sheikh Zayed,Premium,Large,9400.0,0,0
Apartment,1582020.0,3.0,2.0,187.0,No,0.0,Unknown,Cash or Installment,12.0,Semi Finished,Sheikh Zayed,Premium,Large,8460.0,0,0
Apartment,1624320.0,3.0,2.0,192.0,No,0.0,Unknown,Cash or Installment,12.0,Semi Finished,Sheikh Zayed,Premium,Large,8460.0,0,0
Apartment,381000.0,3.0,2.0,155.0,Unknown,3.0,Mountain View iCity,Unknown Payment,0.0,Unknown ,New Cairo - El Tagamoa,Budget,Medium,2458.064516129032,1,1
Apartment,3895000.0,3.0,3.0,225.0,No,2.0,Mountain View iCity,Cash,0.0,Not Finished,New Cairo - El Tagamoa,Premium,Large,17311.11111111111,1,1
Apartment,800000.0,3.0,2.0,140.0,No,3.0,Unknown,Cash,0.0,Finished,Rehab City,Standard,Medium,5714.285714285715,0,1
Apartment,2754000.0,3.0,2.0,156.0,No,1.0,Jayd,Cash or Installment,36.0,Semi Finished,New Cairo - El Tagamoa,Premium,Medium,17653.846153846152,1,0
Apartment,2100000.0,3.0,3.0,163.0,Unknown,3.0,Unknown,Cash or Installment,0.0,Semi Finished,6th of October,Premium,Large,12883.435582822085,0,1
Apartment,3450000.0,3.0,3.0,162.0,No,2.0,Unknown,Cash or Installment,0.0,Semi Finished,Shorouk City,Premium,Large,21296.296296296296,0,1
Apartment,1250000.0,2.0,1.0,70.0,No,5.0,Madinaty,Cash,0.0,Finished,Madinaty,Standard,Small,17857.14285714286,1,1
Apartment,2215451.0,2.0,2.0,100.0,No,1.0,Mountain View iCity,Cash or Installment,24.0,Not Finished,6th of October,Premium,Small,22154.51,1,0
Apartment,400000.0,3.0,1.0,160.0,Unknown,10.0,Unknown,Cash,0.0,Not Finished,New Nozha,Budget,Medium,2500.0,0,1
Apartment,370000.0,3.0,2.0,172.0,No,4.0,Unknown,Cash or Installment,36.0,Semi Finished,New Cairo - El Tagamoa,Budget,Large,2151.1627906976746,0,0
Apartment,1300000.0,3.0,2.0,202.0,No,10.0,Unknown,Cash,0.0,Finished,Smoha,Standard,Large,6435.6435643564355,0,1
Apartment,191000.0,3.0,2.0,173.0,Unknown,2.0,Hyde Park New Cairo,Unknown Payment,0.0,Unknown ,New Cairo - El Tagamoa,Budget,Large,1104.0462427745665,1,1
Apartment,300000.0,3.0,3.0,174.0,No,3.0,Unknown,Cash or Installment,0.0,Unknown ,New Cairo - El Tagamoa,Budget,Large,1724.1379310344828,0,1
Apartment,190000.0,3.0,2.0,172.0,Unknown,2.0,Hyde Park New Cairo,Unknown Payment,0.0,Unknown ,New Cairo - El Tagamoa,Budget,Large,1104.6511627906978,1,1
Apartment,1720000.0,3.0,3.0,140.0,No,5.0,Dar Misr,Cash or Installment,0.0,Finished,Sheikh Zayed,Premium,Medium,12285.714285714286,1,1
Duplex,5200000.0,3.0,3.0,302.0,No,0.0,Upville,Cash or Installment,0.0,Semi Finished,6th of October,Luxury,Very Large,17218.543046357616,1,1
Apartment,2000000.0,2.0,2.0,120.0,No,10.0,Unknown,Cash,0.0,Finished,Sidi Beshr,Premium,Small,16666.666666666668,0,1
Apartment,3834525.0,4.0,3.0,220.0,No,2.0,Mountain View iCity,Cash or Installment,24.0,Not Finished,6th of October,Premium,Large,17429.659090909092,1,0
Apartment,2184700.0,3.0,2.0,170.0,No,2.0,Nest Cairo,Cash,0.0,Finished,New Cairo - El Tagamoa,Premium,Large,12851.176470588236,1,1
Apartment,3300000.0,3.0,3.0,162.0,No,2.0,Taj City,Cash or Installment,36.0,Core & Shell,New Cairo - El Tagamoa,Premium,Large,20370.37037037037,1,0
Apartment,185000.0,3.0,1.0,90.0,No,2.0,Not in Compound,Cash,0.0,Finished,Badr City,Budget,Small,2055.5555555555557,1,1
Apartment,350000.0,3.0,2.0,170.0,No,3.0,Unknown,Cash or Installment,0.0,Semi Finished,New Cairo - El Tagamoa,Budget,Large,2058.823529411765,0,1
Duplex,967901.0,4.0,3.0,338.0,Unknown,3.0,Vinci,Cash or Installment,3.0,Unknown ,New Capital City,Standard,Very Large,2863.612426035503,1,0
Apartment,2173000.0,2.0,2.0,127.0,No,0.0,Sarai,Cash or Installment,0.0,Core & Shell,New Cairo - El Tagamoa,Premium,Medium,17110.23622047244,1,1
Apartment,360000.0,3.0,3.0,160.0,Unknown,2.0,Hyde Park New Cairo,Cash or Installment,0.0,Unknown ,New Cairo - El Tagamoa,Budget,Medium,2250.0,1,1
Apartment,1550000.0,2.0,1.0,91.0,No,3.0,Madinaty,Cash,0.0,Finished,Madinaty,Premium,Small,17032.967032967033,1,1
Apartment,3500000.0,3.0,3.0,240.0,No,4.0,Not in Compound,Cash,0.0,Semi Finished,New Cairo - El Tagamoa,Premium,Large,14583.333333333334,1,1
Apartment,380000.0,3.0,2.0,132.0,Unknown,0.0,Unknown,Cash or Installment,0.0,Finished,North Coast,Budget,Medium,2878.787878787879,0,1
Apartment,3500000.0,3.0,2.0,200.0,Unknown,3.0,Unknown,Installment,0.0,Finished,New Cairo - El Tagamoa,Premium,Large,17500.0,0,1
Apartment,1000000.0,3.0,2.0,150.0,Unknown,2.0,Unknown,Cash or Installment,0.0,Finished,New Cairo - El Tagamoa,Standard,Medium,6666.666666666667,0,1
Apartment,2746480.0,3.0,3.0,150.0,No,2.0,Mountain View iCity,Cash or Installment,24.0,Not Finished,6th of October,Premium,Medium,18309.866666666665,1,0
Apartment,1420000.0,3.0,3.0,148.0,No,1.0,Sarai,Cash or Installment,0.0,Not Finished,New Cairo - El Tagamoa,Standard,Medium,9594.594594594595,1,1
Apartment,1800000.0,2.0,2.0,87.0,No,1.0,Rehab City,Cash,0.0,Finished,Rehab City,Premium,Small,20689.655172413793,1,1
Apartment,1500000.0,2.0,2.0,110.0,Unknown,4.0,The Icon Residence,Cash or Installment,36.0,Semi Finished,New Cairo - El Tagamoa,Standard,Small,13636.363636363636,1,0
Apartment,2775000.0,3.0,3.0,192.0,No,2.0,Zayed Dunes,Cash,0.0,Semi Finished,Sheikh Zayed,Premium,Large,14453.125,1,1
Apartment,2400000.0,2.0,2.0,116.0,No,0.0,Unknown,Unknown Payment,48.0,Semi Finished,6th of October,Premium,Small,20689.655172413793,0,0
Apartment,3300000.0,3.0,3.0,175.0,No,3.0,Madinaty,Cash,3.0,Finished,Madinaty,Premium,Large,18857.14285714286,1,0
Apartment,880000.0,2.0,2.0,114.0,Unknown,5.0,Unknown,Unknown Payment,3.0,Unknown ,Mokattam,Standard,Small,7719.298245614035,0,0
Apartment,2999088.0,3.0,3.0,155.0,No,1.0,Mountain View iCity,Cash or Installment,24.0,Not Finished,6th of October,Premium,Medium,19348.954838709677,1,0
Apartment,3500000.0,3.0,3.0,260.0,No,9.0,Unknown,Cash,0.0,Finished,Laurent,Premium,Large,13461.538461538461,0,1
Apartment,1650000.0,2.0,2.0,98.0,No,5.0,Madinaty,Cash,0.0,Finished,Madinaty,Premium,Small,16836.73469387755,1,1
Apartment,3500000.0,3.0,3.0,170.0,Yes,5.0,Rehab City,Cash,0.0,Finished,Rehab City,Premium,Large,20588.235294117647,1,1
Apartment,2250000.0,3.0,3.0,136.0,No,0.0,Unknown,Cash,0.0,Unknown ,Rehab City,Premium,Medium,16544.117647058825,0,1
Studio,1250000.0,1.0,1.0,42.0,Yes,0.0,Unknown,Cash,0.0,Finished,Madinaty,Standard,Small,29761.904761904763,0,1
Apartment,1400000.0,3.0,2.0,250.0,No,1.0,Unknown,Cash,0.0,Finished,6th of October,Standard,Large,5600.0,0,1
Duplex,1952500.0,4.0,3.0,355.0,No,0.0,Not in Compound,Cash or Installment,24.0,Semi Finished,New Cairo - El Tagamoa,Premium,Very Large,5500.0,1,0
Apartment,1200000.0,3.0,2.0,300.0,Yes,0.0,Unknown,Cash,0.0,Finished,Agami,Standard,Very Large,4000.0,0,1
Apartment,1500000.0,3.0,2.0,175.0,Yes,1.0,Unknown,Cash,0.0,Finished,Nasr City,Standard,Large,8571.42857142857,0,1
Apartment,2125000.0,2.0,2.0,127.0,No,2.0,Unknown,Cash or Installment,48.0,Semi Finished,New Cairo - El Tagamoa,Premium,Medium,16732.283464566928,0,0
Apartment,5196833.0,4.0,3.0,204.0,No,2.0,Unknown,Cash or Installment,0.0,Finished,Sheikh Zayed,Luxury,Large,25474.67156862745,0,1
Apartment,2600000.0,3.0,2.0,210.0,No,7.0,Unknown,Unknown Payment,0.0,Finished,Laurent,Premium,Large,12380.952380952382,0,1
Apartment,2300000.0,3.0,3.0,119.0,No,4.0,Rehab City,Cash,0.0,Finished,Rehab City,Premium,Small,19327.731092436974,1,1
Apartment,2500000.0,3.0,3.0,119.0,No,4.0,Unknown,Cash,0.0,Finished,Rehab City,Premium,Small,21008.40336134454,0,1
Apartment,1250000.0,2.0,1.0,77.0,No,0.0,Madinaty,Cash,0.0,Finished,Madinaty,Standard,Small,16233.766233766233,1,1
Apartment,1585625.0,3.0,2.0,147.0,No,3.0,Unknown,Cash or Installment,60.0,Semi Finished,New Capital City,Premium,Medium,10786.56462585034,0,0
Apartment,2011000.0,3.0,2.0,163.0,No,5.0,Tag Sultan,Cash or Installment,24.0,Not Finished,New Cairo - El Tagamoa,Premium,Large,12337.423312883435,1,0
Apartment,2227359.0,3.0,3.0,118.5,Unknown,5.0,Unknown,Cash or Installment,36.0,Finished,New Capital City,Premium,Small,18796.278481012658,0,0
Apartment,2300000.0,3.0,2.0,113.0,Unknown,0.0,Rehab City,Cash,0.0,Finished,Rehab City,Premium,Small,20353.982300884956,1,1
Apartment,2156000.0,3.0,3.0,176.0,No,5.0,Unknown,Cash or Installment,36.0,Semi Finished,New Capital City,Premium,Large,12250.0,0,0
Apartment,4000000.0,3.0,3.0,350.0,No,2.0,Unknown,Cash,0.0,Finished,New Cairo - El Tagamoa,Premium,Very Large,11428.57142857143,0,1
Apartment,1624000.0,3.0,2.0,138.0,Unknown,5.0,Unknown,Cash or Installment,36.0,Semi Finished,New Capital City,Premium,Medium,11768.115942028986,0,0
Apartment,3900000.0,3.0,3.0,185.0,No,5.0,Hyde Park New Cairo,Cash or Installment,0.0,Semi Finished,New Cairo - El Tagamoa,Premium,Large,21081.08108108108,1,1
Apartment,1000000.0,3.0,1.0,100.0,No,10.0,Unknown,Cash,0.0,Finished,Miami,Standard,Small,10000.0,0,1
Apartment,125800.0,3.0,2.0,180.0,No,2.0,Beit Al Watan,Installment,3.0,Semi Finished,6th of October,Budget,Large,698.8888888888889,1,0
Apartment,2533000.0,3.0,3.0,173.0,Unknown,6.0,Botanica,Cash or Installment,25.5,Semi Finished,New Capital City,Premium,Large,14641.618497109826,1,0
Apartment,1876108.0,2.0,3.0,90.0,No,6.0,Unknown,Cash or Installment,36.0,Finished,New Capital City,Premium,Small,20845.644444444446,0,0
Duplex,2800000.0,5.0,4.0,280.0,Unknown,6.0,Unknown,Installment,48.0,Unknown ,New Capital City,Premium,Very Large,10000.0,0,0
Apartment,1573200.0,3.0,2.0,138.0,No,4.0,Unknown,Cash or Installment,36.0,Semi Finished,New Capital City,Premium,Medium,11400.0,0,0
Apartment,1616016.0,2.0,2.0,131.0,Unknown,5.0,The Pearl,Cash or Installment,48.0,Core & Shell,New Mansoura,Premium,Medium,12336.0,1,0
Apartment,1055000.0,3.0,2.0,108.0,No,1.0,Unknown,Cash or Installment,36.0,Semi Finished,Zahraa Al Maadi,Standard,Small,9768.518518518518,0,0
Apartment,1055000.0,3.0,2.0,108.0,No,3.0,Unknown,Cash or Installment,36.0,Semi Finished,Zahraa Al Maadi,Standard,Small,9768.518518518518,0,0
Apartment,912000.0,2.0,2.0,93.0,Unknown,2.0,Unknown,Cash or Installment,36.0,Semi Finished,Zahraa Al Maadi,Standard,Small,9806.451612903225,0,0
Apartment,3850000.0,3.0,2.0,188.0,Unknown,4.0,Eastown,Cash,0.0,Finished,New Cairo - El Tagamoa,Premium,Large,20478.72340425532,1,1
Duplex,4500000.0,3.0,3.0,200.0,No,2.0,Unknown,Cash or Installment,48.0,Finished,New Capital City,Premium,Large,22500.0,0,0
Apartment,270000.0,3.0,1.0,152.0,No,3.0,Unknown,Cash or Installment,0.0,Semi Finished,New Cairo - El Tagamoa,Budget,Medium,1776.3157894736842,0,1
Apartment,2900000.0,4.0,3.0,175.0,No,3.0,Scene 7,Installment,36.0,Core & Shell,New Capital City,Premium,Large,16571.428571428572,1,0
Apartment,2250000.0,3.0,2.0,185.0,Yes,5.0,Unknown,Cash,0.0,Finished,Nasr City,Premium,Large,12162.162162162162,0,1
Apartment,1500000.0,3.0,2.0,191.0,No,3.0,Unknown,Cash or Installment,0.0,Finished,New Cairo - El Tagamoa,Standard,Large,7853.4031413612565,0,1
Apartment,3445000.0,3.0,3.0,265.0,No,3.0,Unknown,Cash or Installment,0.0,Core & Shell,Mansura,Premium,Very Large,13000.0,0,1
Apartment,1719500.0,3.0,1.0,181.0,Unknown,2.0,Unknown,Cash or Installment,0.0,Semi Finished,New Cairo - El Tagamoa,Premium,Large,9500.0,0,1
Apartment,2375000.0,2.0,2.0,125.0,No,3.0,Murooj,Installment,3.0,Finished,Smoha,Premium,Medium,19000.0,1,0
Apartment,730000.0,2.0,2.0,136.0,Unknown,10.0,Unknown,Cash or Installment,0.0,Finished,North Coast,Standard,Medium,5367.64705882353,0,1
Apartment,1917000.0,3.0,3.0,248.0,Unknown,2.0,Unknown,Cash or Installment,0.0,Unknown ,Shorouk City,Premium,Large,7729.8387096774195,0,1
Apartment,1189000.0,3.0,2.0,164.0,No,3.0,Unknown,Cash or Installment,0.0,Unknown ,New Cairo - El Tagamoa,Standard,Large,7250.0,0,1
Apartment,1000000.0,3.0,3.0,150.0,Yes,3.0,Unknown,Cash or Installment,0.0,Unknown ,New Cairo - El Tagamoa,Standard,Medium,6666.666666666667,0,1
Apartment,1850000.0,4.0,3.0,250.0,No,1.0,Unknown,Cash or Installment,0.0,Unknown ,New Cairo - El Tagamoa,Premium,Large,7400.0,0,1
Apartment,1189000.0,3.0,2.0,163.0,Unknown,3.0,Unknown,Cash or Installment,0.0,Unknown ,New Cairo - El Tagamoa,Standard,Large,7294.478527607362,0,1
Duplex,2499000.0,4.0,3.0,340.0,No,1.0,Unknown,Cash or Installment,0.0,Unknown ,New Cairo - El Tagamoa,Premium,Very Large,7350.0,0,1
Apartment,887500.0,3.0,1.0,125.0,No,1.0,Unknown,Cash or Installment,0.0,Unknown ,New Cairo - El Tagamoa,Standard,Medium,7100.0,0,1
